,player_name,wins,loss,player_agent,player_kills,player_deaths,player_assists,player_first_bloods,player_first_deaths,player_clutches,player_combat_score,bracket,region
0,shyz,0,1,Breach,7,14,5,2,0,0,104.65,game-changers,LATAM
1,micaela,0,1,Raze,12,15,0,3,2,0,182.25,game-changers,LATAM
2,kalita,0,1,Skye,7,17,5,1,4,0,114.9,game-changers,LATAM
3,conir,0,1,Omen,24,14,5,1,4,1,302.8,vct-challengers,LATAM
4,romi,0,1,Cypher,14,14,4,2,1,0,206.9,game-changers,LATAM
5,Felipa,1,0,Breach,13,17,11,0,0,0,183.9,vct-international,EMEA
6,Alkyia,1,0,Raze,13,13,1,5,3,0,176.05,vct-international,EMEA
7,Vania,1,0,Omen,17,13,9,2,5,1,246.0,vct-international,EMEA
8,eva,1,0,Skye,21,8,4,2,0,3,251.4,vct-international,EMEA
9,Wens,1,0,Cypher,10,13,4,2,1,0,154.25,vct-international,EMEA
70,ChloeZerA,1,0,Killjoy,18,15,2,2,1,0,223.77272727272728,game-changers,LATAM
71,ICamii,1,0,Viper,15,11,8,2,1,0,185.5909090909091,game-changers,LATAM
72,JuW,1,0,Jett,17,16,8,4,7,0,236.1818181818182,game-changers,LATAM
73,mmonch,1,0,Harbor,20,12,10,1,1,0,239.45454545454547,game-changers,LATAM
74,Ivy,1,0,Skye,17,16,11,2,1,0,222.22727272727272,game-changers,LATAM
85,romi,0,1,Cypher,19,13,7,2,3,0,212.45454545454547,game-changers,LATAM
86,micaela,0,1,Raze,19,15,5,5,2,0,254.0909090909091,game-changers,LATAM
87,conir,0,1,Omen,17,17,13,3,1,0,242.13636363636363,vct-challengers,LATAM
88,shyz,0,1,Sage,11,14,10,0,2,0,149.72727272727272,game-changers,LATAM
89,kalita,0,1,Skye,8,17,11,2,2,0,115.4090909090909,game-changers,LATAM
100,ICamii,1,0,Viper,11,9,4,1,1,0,229.71428571428572,game-changers,LATAM
101,ChloeZerA,1,0,Killjoy,10,7,3,1,1,0,201.78571428571428,game-changers,LATAM
102,Ivy,1,0,Skye,19,4,7,2,1,1,341.35714285714283,game-changers,LATAM
103,JuW,1,0,Jett,15,9,2,4,0,0,285.2142857142857,game-changers,LATAM
104,mmonch,1,0,Harbor,12,4,5,2,1,2,217.21428571428572,game-changers,LATAM
122,florescent,1,0,Jett,14,13,1,4,4,0,225.41176470588235,vct-challengers,NA
