,player_name,wins,loss,player_agent,player_kills,player_deaths,player_assists,player_first_bloods,player_first_deaths,player_clutches,player_combat_score,bracket,region,KPR,KPR_Variance
0,shyz,0,1,Breach,7,14,5,2,0,0,104.65,game-changers,LATAM,0.35,0.63
1,micaela,0,1,Raze,12,15,0,3,2,0,182.25,game-changers,LATAM,0.6,0.74
2,kalita,0,1,Skye,7,17,5,1,4,0,114.9,game-changers,LATAM,0.35,0.33
3,conir,0,1,Omen,24,14,5,1,4,1,302.8,vct-challengers,LATAM,1.2,1.56
4,romi,0,1,Cypher,14,14,4,2,1,0,206.9,game-changers,LATAM,0.7,0.81
5,Felipa,1,0,Breach,13,17,11,0,0,0,183.9,vct-international,EMEA,0.65,0.23
6,Alkyia,1,0,Raze,13,13,1,5,3,0,176.05,vct-international,EMEA,0.65,0.43
7,Vania,1,0,Omen,17,13,9,2,5,1,246.0,vct-international,EMEA,0.85,0.83
8,eva,1,0,Skye,21,8,4,2,0,3,251.4,vct-international,EMEA,1.05,1.45
9,Wens,1,0,Cypher,10,13,4,2,1,0,154.25,vct-international,EMEA,0.5,0.75
70,ChloeZerA,1,0,Killjoy,18,15,2,2,1,0,223.77,game-changers,LATAM,0.82,1.15
71,ICamii,1,0,Viper,15,11,8,2,1,0,185.59,game-changers,LATAM,0.68,0.58
72,JuW,1,0,Jett,17,16,8,4,7,0,236.18,game-changers,LATAM,0.77,1.54
73,mmonch,1,0,Harbor,20,12,10,1,1,0,239.45,game-changers,LATAM,0.91,1.17
74,Ivy,1,0,Skye,17,16,11,2,1,0,222.23,game-changers,LATAM,0.77,1.08
85,romi,0,1,Cypher,19,13,7,2,3,0,212.45,game-changers,LATAM,0.86,1.03
86,micaela,0,1,Raze,19,15,5,5,2,0,254.09,game-changers,LATAM,0.86,0.85
87,conir,0,1,Omen,17,17,13,3,1,0,242.14,vct-challengers,LATAM,0.77,0.72
88,shyz,0,1,Sage,11,14,10,0,2,0,149.73,game-changers,LATAM,0.5,0.61
89,kalita,0,1,Skye,8,17,11,2,2,0,115.41,game-changers,LATAM,0.36,0.32
100,ICamii,1,0,Viper,11,9,4,1,1,0,229.71,game-changers,LATAM,0.79,0.88
101,ChloeZerA,1,0,Killjoy,10,7,3,1,1,0,201.79,game-changers,LATAM,0.71,0.35
102,Ivy,1,0,Skye,19,4,7,2,1,1,341.36,game-changers,LATAM,1.36,1.52
103,JuW,1,0,Jett,15,9,2,4,0,0,285.21,game-changers,LATAM,1.07,1.35
104,mmonch,1,0,Harbor,12,4,5,2,1,2,217.21,game-changers,LATAM,0.86,0.69
122,florescent,1,0,Jett,14,13,1,4,4,0,225.41,vct-challengers,NA,0.82,1.09
126,dodonut,0,1,Raze,16,13,6,3,3,0,292.76,game-changers,NA,0.94,0.88
130,florescent,1,0,Jett,16,11,5,3,3,0,223.0,vct-challengers,NA,0.89,1.1
135,bizerra,0,1,KAY/O,6,15,4,2,1,0,144.06,game-changers,BR,0.33,0.33
136,bstrdd,0,1,Jett,13,15,0,1,2,0,199.44,game-changers,BR,0.72,0.76
137,daiki,0,1,Sova,10,16,1,3,1,0,161.06,game-changers,BR,0.56,0.69
138,isaa,0,1,Cypher,13,14,5,1,4,0,210.0,game-changers,BR,0.72,0.87
139,Joojina,0,1,Viper,9,13,3,1,2,0,142.11,game-changers,BR,0.5,0.81
170,bizerra,1,0,KAY/O,19,14,13,2,1,1,266.71,game-changers,BR,0.9,0.94
171,bstrdd,1,0,Jett,19,16,1,4,4,0,224.0,game-changers,BR,0.9,1.04
172,daiki,1,0,Sova,12,14,8,1,1,1,174.38,game-changers,BR,0.57,0.63
173,isaa,1,0,Killjoy,22,12,3,3,2,2,287.52,game-changers,BR,1.05,0.9
174,Joojina,1,0,Omen,15,16,8,1,2,1,208.76,game-changers,BR,0.71,1.06
175,Felipa,0,1,KAY/O,11,17,9,2,2,1,144.52,vct-international,EMEA,0.52,0.54
176,Alkyia,0,1,Jett,15,19,2,4,5,0,206.19,vct-international,EMEA,0.71,0.68
177,Vania,0,1,Omen,19,16,7,0,1,2,257.52,vct-international,EMEA,0.9,0.75
178,eva,0,1,Sova,17,17,4,2,1,0,235.43,vct-international,EMEA,0.81,0.92
179,Wens,0,1,Killjoy,10,18,4,2,2,0,156.86,vct-international,EMEA,0.48,0.44
213,florescent,1,0,Yoru,30,12,6,4,1,1,351.35,vct-challengers,NA,1.3,1.17
293,dodonut,0,1,Raze,15,17,8,5,7,1,283.72,game-changers,NA,0.83,1.14
328,florescent,1,0,Jett,26,12,9,5,1,0,419.89,vct-challengers,NA,1.44,0.69
335,Vania,0,1,Brimstone,11,16,6,1,2,1,152.7,vct-international,EMEA,0.55,0.55
336,Alkyia,0,1,Raze,19,15,4,3,3,0,269.55,vct-international,EMEA,0.95,0.55
337,eva,0,1,Skye,18,15,11,4,2,0,253.8,vct-international,EMEA,0.9,0.69
338,Felipa,0,1,Breach,11,17,4,1,2,0,156.25,vct-international,EMEA,0.55,0.55
339,rayka,0,1,Viper,11,15,2,2,0,0,172.55,vct-international,EMEA,0.55,0.45
340,bizerra,0,1,Killjoy,15,17,2,3,2,0,181.21,game-changers,BR,0.62,0.57
341,bstrdd,0,1,Raze,19,18,6,4,2,0,262.92,game-changers,BR,0.79,0.75
342,daiki,0,1,Skye,18,20,14,1,4,0,213.58,game-changers,BR,0.75,1.35
343,isaa,0,1,Viper,10,19,10,2,3,0,144.08,game-changers,BR,0.42,0.66
344,Joojina,0,1,Astra,20,15,10,2,1,2,227.46,game-changers,BR,0.83,0.64
345,srN,1,0,Raze,17,21,6,5,9,0,216.21,game-changers,BR,0.71,1.04
346,antg,1,0,Skye,16,16,9,3,0,1,168.67,game-changers,BR,0.67,0.64
347,sayuri,1,0,Omen,15,16,8,0,0,1,177.5,game-changers,BR,0.62,0.57
348,mell1,1,0,Viper,22,13,6,1,1,0,243.75,game-changers,BR,0.92,0.83
349,nanah,1,0,Killjoy,19,16,3,3,2,1,228.79,game-changers,BR,0.79,0.91
370,krysme,1,0,Killjoy,14,15,3,0,1,0,182.9,game-changers,BR,0.67,0.89
371,lissA,1,0,Viper,17,11,8,0,0,1,213.86,game-changers,BR,0.81,0.63
374,jellykitt,1,0,Skye,25,12,10,3,0,2,367.14,game-changers,BR,1.19,1.39
390,shyz,0,1,Killjoy,17,16,3,0,2,0,198.46,game-changers,LATAM,0.71,0.71
391,romi,0,1,Viper,27,16,6,3,3,0,300.58,game-changers,LATAM,1.12,1.53
392,conir,0,1,Harbor,21,16,8,3,0,0,250.0,vct-challengers,LATAM,0.88,0.78
393,micaela,0,1,Jett,16,16,3,5,5,0,196.04,game-changers,LATAM,0.67,0.72
394,kalita,0,1,Skye,10,17,11,0,3,0,131.33,game-changers,LATAM,0.42,0.41
424,florescent,0,1,Yoru,22,18,6,3,5,2,259.88,vct-challengers,NA,0.92,0.58
527,sayuri,0,1,Omen,12,14,6,1,1,0,179.95,game-changers,BR,0.6,0.44
528,antg,0,1,Jett,18,14,4,5,4,0,282.0,game-changers,BR,0.9,1.09
529,nanah,0,1,Killjoy,9,13,1,0,1,0,141.2,game-changers,BR,0.45,0.35
530,Petra,0,1,Skye,15,20,8,0,4,0,180.09,game-changers,EMEA,0.65,1.01
531,mimi,0,1,Viper,5,16,7,0,1,1,94.57,game-changers,EMEA,0.22,0.26
532,Glance,0,1,Omen,16,19,8,1,2,0,188.65,game-changers,EMEA,0.7,0.91
533,roxi,0,1,Killjoy,10,20,5,2,4,1,153.74,game-changers,EMEA,0.43,0.33
534,sarah2,0,1,Jett,25,18,2,5,4,2,295.43,game-changers,EMEA,1.09,2.34
535,Vania,1,0,Omen,18,14,14,2,1,0,226.17,vct-international,EMEA,0.78,1.13
536,Alkyia,1,0,Jett,22,16,5,8,4,0,283.09,vct-international,EMEA,0.96,1.0
537,eva,1,0,Sova,14,16,6,1,3,1,180.65,vct-international,EMEA,0.61,0.93
538,Felipa,1,0,Breach,23,11,4,3,0,3,266.87,vct-international,EMEA,1.0,1.57
539,rayka,1,0,Killjoy,16,14,2,1,0,0,192.74,vct-international,EMEA,0.7,0.65
540,Petra,0,1,Skye,17,17,4,2,3,0,210.09,game-changers,EMEA,0.74,0.8
541,mimi,0,1,Killjoy,12,15,2,0,1,0,148.74,game-changers,EMEA,0.52,1.03
542,Glance,0,1,Harbor,12,16,2,2,0,0,142.91,game-changers,EMEA,0.52,0.51
543,roxi,0,1,Viper,17,16,5,1,1,2,213.65,game-changers,EMEA,0.74,1.24
544,sarah2,0,1,Jett,8,19,3,4,9,0,118.22,game-changers,EMEA,0.35,0.31
580,micaela,1,0,Jett,23,11,2,4,1,0,274.5,game-changers,LATAM,1.1,0.94
581,conir,1,0,Viper,17,15,11,6,1,0,223.68,vct-challengers,LATAM,0.81,0.82
582,kalita,1,0,Sova,17,11,4,1,1,0,200.91,game-changers,LATAM,0.81,0.92
583,romi,1,0,Killjoy,17,10,1,1,0,0,209.32,game-changers,LATAM,0.81,1.2
584,shyz,1,0,KAY/O,8,14,6,5,1,0,118.27,game-changers,LATAM,0.38,0.24
592,florescent,1,0,Raze,21,7,4,3,2,0,378.53,vct-challengers,NA,1.4,1.17
600,romi,1,0,Cypher,20,10,6,4,1,1,306.39,game-changers,LATAM,1.11,1.1
601,micaela,1,0,Raze,22,13,1,2,2,1,298.17,game-changers,LATAM,1.22,1.17
602,conir,1,0,Omen,10,12,6,3,2,0,164.67,vct-challengers,LATAM,0.56,0.69
603,shyz,1,0,Breach,11,11,13,0,0,0,182.5,game-changers,LATAM,0.61,0.46
604,kalita,1,0,Skye,12,9,6,1,3,1,168.39,game-changers,LATAM,0.67,0.78
605,Ciao,0,1,Astra,7,15,4,1,5,0,123.17,game-changers,LATAM,0.39,0.24
606,JuW,0,1,Raze,12,15,3,1,3,0,168.67,game-changers,LATAM,0.67,0.56
607,Ivy,0,1,Skye,8,16,5,1,0,0,135.83,game-changers,LATAM,0.44,0.58
608,mmonch,0,1,Viper,12,15,5,2,1,0,209.67,game-changers,LATAM,0.67,0.67
609,ICamii,0,1,Killjoy,16,14,3,3,1,1,259.67,game-changers,LATAM,0.89,1.21
620,Vania,0,1,Omen,22,21,18,4,2,0,255.35,vct-international,EMEA,0.85,0.75
621,eva,0,1,Skye,19,16,8,1,1,1,203.35,vct-international,EMEA,0.73,0.89
622,Felipa,0,1,Breach,18,17,11,1,2,2,189.46,vct-international,EMEA,0.69,0.83
623,rayka,0,1,Killjoy,16,21,3,2,2,0,159.58,vct-international,EMEA,0.62,0.7
624,Alkyia,0,1,Raze,16,22,2,4,6,0,179.77,vct-international,EMEA,0.62,0.47
660,bizerra,1,0,Killjoy,19,10,4,2,1,0,255.5,game-changers,BR,0.95,0.95
661,bstrdd,1,0,Raze,14,15,3,6,3,0,216.6,game-changers,BR,0.7,0.71
662,daiki,1,0,Skye,13,12,13,0,0,0,178.55,game-changers,BR,0.65,0.53
663,isaa,1,0,Viper,16,14,8,0,3,0,211.2,game-changers,BR,0.8,0.76
664,Joojina,1,0,Astra,15,14,1,3,2,2,188.45,game-changers,BR,0.75,1.19
665,roxi,0,1,Killjoy,12,15,0,1,1,1,163.95,game-changers,EMEA,0.6,0.64
666,Glance,0,1,Omen,11,14,10,1,2,0,149.45,game-changers,EMEA,0.55,0.65
667,mimi,0,1,Skye,14,14,9,2,1,1,201.45,game-changers,EMEA,0.7,0.81
668,Petra,0,1,Raze,17,18,4,4,5,0,278.85,game-changers,EMEA,0.85,0.93
669,sarah2,0,1,Viper,11,16,6,1,2,0,171.85,game-changers,EMEA,0.55,0.55
675,bizerra,1,0,Killjoy,15,13,6,1,0,0,182.87,game-changers,BR,0.65,0.75
676,bstrdd,1,0,Raze,18,17,7,6,3,1,233.74,game-changers,BR,0.78,0.52
677,daiki,1,0,Skye,22,16,20,6,1,0,288.09,game-changers,BR,0.96,1.35
678,isaa,1,0,Viper,8,16,6,0,0,0,110.7,game-changers,BR,0.35,0.31
679,Joojina,1,0,Omen,19,15,6,4,2,0,216.48,game-changers,BR,0.83,1.36
690,bizerra,1,0,Killjoy,26,17,3,3,2,2,266.32,game-changers,BR,0.93,1.28
691,bstrdd,1,0,Jett,25,21,0,6,6,0,248.0,game-changers,BR,0.89,0.88
692,daiki,1,0,Skye,12,20,18,1,2,0,140.43,game-changers,BR,0.43,0.32
693,isaa,1,0,Viper,14,20,9,2,3,1,158.14,game-changers,BR,0.5,0.32
694,Joojina,1,0,Omen,23,21,11,1,2,2,233.43,game-changers,BR,0.82,1.0
695,Felipa,0,1,Breach,21,20,11,2,1,1,218.04,vct-international,EMEA,0.75,0.9
696,Alkyia,0,1,Jett,19,22,5,8,6,0,193.0,vct-international,EMEA,0.68,0.72
697,Vania,0,1,Omen,18,20,6,1,1,1,184.07,vct-international,EMEA,0.64,0.66
698,eva,0,1,Sova,24,18,5,3,2,0,214.18,vct-international,EMEA,0.86,0.98
699,Wens,0,1,Killjoy,17,20,4,1,3,0,168.75,vct-international,EMEA,0.61,0.38
710,Vania,1,0,Omen,20,14,8,5,4,0,252.59,vct-international,EMEA,0.91,1.08
711,eva,1,0,Skye,17,9,14,1,0,1,202.5,vct-international,EMEA,0.77,0.45
712,Felipa,1,0,Breach,13,14,11,0,1,0,164.86,vct-international,EMEA,0.59,0.51
713,rayka,1,0,Killjoy,13,16,5,0,1,0,174.45,vct-international,EMEA,0.59,0.7
714,Alkyia,1,0,Raze,30,14,4,5,5,1,380.32,vct-international,EMEA,1.36,1.87
715,Petra,0,1,Skye,8,19,5,2,5,0,102.45,game-changers,EMEA,0.36,0.32
716,mimi,0,1,Killjoy,20,20,1,3,1,0,255.05,game-changers,EMEA,0.91,0.45
717,Glance,0,1,Omen,7,18,13,0,0,2,93.91,game-changers,EMEA,0.32,0.31
718,roxi,0,1,Viper,7,19,2,0,1,1,98.09,game-changers,EMEA,0.32,0.31
719,Mary,0,1,Raze,24,17,5,6,4,1,335.86,game-changers,EMEA,1.09,1.17
720,XiMiLu,0,1,KAY/O,15,18,9,3,2,0,179.0,game-changers,INTL,0.58,0.78
722,Clem,0,1,Killjoy,21,17,8,2,1,1,248.31,game-changers,INTL,0.81,0.92
723,WawaLee,0,1,Sova,21,18,7,1,0,0,195.23,game-changers,INTL,0.81,1.16
724,YusinGC,0,1,Omen,19,18,15,4,1,0,219.85,game-changers,INTL,0.73,0.74
725,shyz,1,0,KAY/O,14,21,13,2,1,0,170.19,game-changers,LATAM,0.54,0.56
726,micaela,1,0,Jett,21,23,9,5,6,0,255.27,game-changers,LATAM,0.81,1.23
727,kalita,1,0,Sova,17,17,6,3,1,2,170.5,game-changers,LATAM,0.65,0.76
728,conir,1,0,Omen,24,18,13,2,4,0,254.31,vct-challengers,LATAM,0.92,1.07
729,romi,1,0,Killjoy,14,15,4,0,2,2,133.77,game-changers,LATAM,0.54,0.48
730,Vania,0,1,Astra,18,21,11,2,2,0,172.36,vct-international,EMEA,0.64,0.52
731,eva,0,1,Sova,20,20,6,4,1,0,207.93,vct-international,EMEA,0.71,0.85
732,Felipa,0,1,Breach,14,22,7,0,2,0,154.32,vct-international,EMEA,0.5,0.32
733,rayka,0,1,Killjoy,14,20,4,1,3,1,155.71,vct-international,EMEA,0.5,0.68
734,Alkyia,0,1,Jett,21,22,6,5,8,1,220.5,vct-international,EMEA,0.75,1.19
735,Petra,1,0,Sova,20,19,13,4,3,0,216.93,game-changers,EMEA,0.71,0.56
736,mimi,1,0,KAY/O,27,16,24,3,0,0,267.57,game-changers,EMEA,0.96,0.89
737,Glance,1,0,Omen,16,17,9,2,2,0,152.18,game-changers,EMEA,0.57,0.53
738,roxi,1,0,Killjoy,17,17,2,2,3,0,165.82,game-changers,EMEA,0.61,0.52
739,Mary,1,0,Jett,25,18,7,5,4,1,250.71,game-changers,EMEA,0.89,1.02
750,Felipa,0,1,KAY/O,4,16,6,0,1,0,99.12,vct-international,EMEA,0.25,0.31
751,Alkyia,0,1,Jett,4,16,2,2,3,0,103.62,vct-international,EMEA,0.25,0.19
752,Vania,0,1,Omen,11,14,5,1,3,2,215.75,vct-international,EMEA,0.69,1.71
753,eva,0,1,Sova,9,15,2,0,0,0,161.56,vct-international,EMEA,0.56,0.25
754,Wens,0,1,Killjoy,4,15,2,0,6,0,91.88,vct-international,EMEA,0.25,0.19
755,florescent,1,0,Jett,18,5,3,3,0,0,300.19,vct-challengers,NA,1.12,0.73
785,mmonch,1,0,Breach,13,16,8,2,1,1,140.91,game-changers,LATAM,0.57,0.51
786,Ivy,1,0,Skye,13,17,13,1,2,0,179.13,game-changers,LATAM,0.57,0.59
787,JuW,1,0,Raze,18,16,8,6,5,1,217.17,game-changers,LATAM,0.78,0.52
788,ICamii,1,0,Viper,14,16,3,2,1,0,155.57,game-changers,LATAM,0.61,0.5
789,Ciao,1,0,Brimstone,19,14,11,3,0,2,264.7,game-changers,LATAM,0.83,0.75
800,srN,1,0,Raze,24,21,10,8,2,0,363.26,game-changers,BR,1.04,0.82
801,antg,1,0,Brimstone,15,19,10,1,3,1,171.57,game-changers,BR,0.65,0.75
802,sayuri,1,0,Breach,8,16,15,1,3,1,113.0,game-changers,BR,0.35,0.31
803,mell1,1,0,Sage,21,17,10,0,3,1,237.17,game-changers,BR,0.91,1.12
804,nanah,1,0,Cypher,12,18,4,2,0,1,141.26,game-changers,BR,0.52,0.42
850,florescent,0,1,Jett,13,14,2,2,5,0,181.95,vct-challengers,NA,0.68,0.85
855,roxi,1,0,Cypher,14,10,6,2,1,1,210.26,game-changers,EMEA,0.74,0.83
856,Glance,1,0,Sova,12,13,11,1,1,0,197.74,game-changers,EMEA,0.63,0.55
857,mimi,1,0,KAY/O,18,12,10,2,1,0,256.16,game-changers,EMEA,0.95,0.68
858,Petra,1,0,Jett,24,10,0,7,4,0,326.32,game-changers,EMEA,1.26,1.14
859,sarah2,1,0,Viper,9,12,2,0,0,1,107.05,game-changers,EMEA,0.47,0.46
895,Vania,1,0,Omen,19,10,14,1,0,0,283.83,vct-international,EMEA,1.06,0.83
896,eva,1,0,Skye,13,11,8,1,2,0,207.83,vct-international,EMEA,0.72,0.87
897,Felipa,1,0,Breach,12,9,9,2,1,1,193.33,vct-international,EMEA,0.67,0.67
898,Wens,1,0,Cypher,16,10,2,3,2,0,216.72,vct-international,EMEA,0.89,0.99
899,Alkyia,1,0,Jett,16,9,0,3,3,0,210.28,vct-international,EMEA,0.89,1.21
975,YusinGC,1,0,Omen,13,5,7,1,1,0,226.13,game-changers,INTL,0.87,0.78
976,XiMiLu,1,0,Breach,14,5,14,3,0,0,267.2,game-changers,INTL,0.93,0.46
977,WawaLee,1,0,Sova,14,8,10,0,0,0,267.2,game-changers,INTL,0.93,0.86
978,Lizhi,1,0,Jett,19,5,1,5,2,0,308.67,game-changers,INTL,1.27,1.4
979,Clem,1,0,Killjoy,10,9,1,2,1,0,183.07,game-changers,INTL,0.67,0.62
990,Petra,1,0,Skye,16,10,8,1,2,0,241.72,game-changers,EMEA,0.89,0.65
991,mimi,1,0,Sage,19,9,4,1,1,0,277.94,game-changers,EMEA,1.06,1.39
992,Glance,1,0,Harbor,13,9,5,0,0,1,178.89,game-changers,EMEA,0.72,0.76
993,roxi,1,0,Viper,10,10,5,2,1,0,144.0,game-changers,EMEA,0.56,0.8
994,Mary,1,0,Raze,22,18,1,7,3,0,328.39,game-changers,EMEA,1.22,1.06
1010,micaela,1,0,Jett,20,14,5,4,2,0,233.92,game-changers,LATAM,0.83,1.14
1011,conir,1,0,Omen,16,14,11,3,3,0,184.62,vct-challengers,LATAM,0.67,0.47
1012,romi,1,0,Killjoy,19,13,2,4,1,1,199.04,game-changers,LATAM,0.79,0.58
1013,kalita,1,0,Sova,19,17,8,2,0,0,213.67,game-changers,LATAM,0.79,1.0
1014,shyz,1,0,KAY/O,12,20,11,4,1,0,152.38,game-changers,LATAM,0.5,0.58
1025,Petra,0,1,Sova,12,13,11,0,4,1,187.9,game-changers,EMEA,0.6,0.54
1026,mimi,0,1,KAY/O,13,15,6,2,3,0,177.75,game-changers,EMEA,0.65,0.63
1027,Glance,0,1,Omen,12,16,5,1,2,0,150.95,game-changers,EMEA,0.6,0.64
1028,roxi,0,1,Killjoy,8,15,9,0,0,0,167.6,game-changers,EMEA,0.4,0.34
1029,sarah2,0,1,Jett,12,17,1,4,4,0,160.15,game-changers,EMEA,0.6,0.84
1040,JuW,1,0,Fade,12,7,14,2,0,0,256.64,game-changers,LATAM,0.86,0.69
1041,mmonch,1,0,Viper,9,5,5,1,1,1,172.5,game-changers,LATAM,0.64,0.52
